Year,State,Sector,Customers,Price,Revenue,Sales
2014,AK,Commercial,51017,17.09,472078,2761518
2014,AK,Industrial,1287,15.66,212988,1359680
2014,AK,Residential,281438,19.14,391068,2043614
2014,AK,Transportation,0,0.0,0,0
2014,AL,Commercial,360901,10.79,2473586,22929309
2014,AL,Industrial,7236,6.15,2130887,34634820
2014,AL,Residential,2169790,11.48,3781917,32929598
2014,AL,Transportation,0,0.0,0,0
2014,AR,Commercial,185842,8.05,964795,11988033
2014,AR,Industrial,35685,6.02,1002428,16650718
2014,AR,Residential,1345009,9.51,1753284,18441119
2014,AR,Transportation,2,11.35,49,431
2014,AZ,Commercial,312221,10.13,2967741,29289879
2014,AZ,Industrial,7710,6.46,947683,14661727
2014,AZ,Residential,2661694,11.9,3848998,32346079
2014,AZ,Transportation,0,0.0,0,0
2014,CA,Commercial,1676201,15.62,18663231,119494062
2014,CA,Industrial,146944,12.34,6525678,52898430
2014,CA,Residential,13256068,16.25,14517393,89360680
2014,CA,Transportation,13,8.9,74025,831614
2014,CO,Commercial,360237,10.08,2029053,20129360
2014,CO,Industrial,19234,7.47,1129370,15110188
2014,CO,Residential,2193520,12.18,2203838,18092932
2014,CO,Transportation,1,10.79,6910,64041
2014,CT,Commercial,155372,15.55,2004629,12893531
2014,CT,Industrial,4648,12.92,453957,3514798
2014,CT,Residential,1459239,19.75,2523349,12777579
2014,CT,Transportation,4,13.08,22043,168552
2014,DC,Commercial,26463,12.19,1042419,8548237
2014,DC,Industrial,1,8.41,20367,242149
2014,DC,Residential,239355,12.74,263973,2072205
2014,DC,Transportation,1,8.8,29119,330998
2014,DE,Commercial,52203,10.5,440657,4197298
2014,DE,Industrial,862,8.58,214197,2496338
2014,DE,Residential,407508,13.29,617400,4644841
2014,DE,Transportation,0,0.0,0,0
2014,FL,Commercial,1180768,9.87,9169986,92925670
2014,FL,Industrial,18779,7.9,1306052,16522425
2014,FL,Residential,8891020,11.89,13854538,116535263
2014,FL,Transportation,2,9.25,8760,94753
2014,GA,Commercial,552712,10.36,4827025,46608275
2014,GA,Industrial,20300,6.64,2115659,31849136
2014,GA,Residential,4137057,11.65,6659464,57167387
2014,GA,Transportation,1,6.98,11527,165134
2014,HI,Commercial,60679,34.21,1095476,3201898
2014,HI,Industrial,716,30.22,1114946,3689784
2014,HI,Residential,425168,37.04,957073,2583770
2014,HI,Transportation,0,0.0,0,0
2014,IA,Commercial,224187,8.67,1070319,12339098
2014,IA,Industrial,7399,5.71,1166905,20436173
2014,IA,Residential,1348641,11.16,1610036,14426582
2014,IA,Transportation,0,0.0,0,0
2014,ID,Commercial,104463,7.78,476481,6127911
2014,ID,Industrial,27127,6.4,573888,8970460
2014,ID,Residential,690277,9.72,791099,8134913
2014,ID,Transportation,0,0.0,0,0
2014,IL,Commercial,600246,9.26,4687910,50619480
2014,IL,Industrial,6098,6.85,3037246,44329683
2014,IL,Residential,5145022,11.91,5481125,46009458
2014,IL,Transportation,3,6.85,39853,581666
2014,IN,Commercial,348699,9.96,2403018,24129606
2014,IN,Industrial,18106,6.97,3419485,49088427
2014,IN,Residential,2784660,11.46,3861636,33703965
2014,IN,Transportation,1,10.2,2091,20506
2014,KS,Commercial,226043,10.13,1558211,15382745
2014,KS,Industrial,26787,7.8,896511,11493909
2014,KS,Residential,1228858,12.17,1665583,13684952
2014,KS,Transportation,0,0.0,0,0
2014,KY,Commercial,297182,9.44,1807976,19156540
2014,KY,Industrial,7376,5.68,1832517,32282616
2014,KY,Residential,1939489,10.16,2785001,27399768
2014,KY,Transportation,0,0.0,0,0
2014,LA,Commercial,297789,9.1,2229210,24492775
2014,LA,Industrial,19553,6.05,2099881,34723345
2014,LA,Residential,2026223,9.57,3005472,31400683
2014,LA,Transportation,1,9.27,1068,11513
2014,MA,Commercial,398717,14.68,3827051,26076208
2014,MA,Industrial,14896,12.74,1014262,7960941
2014,MA,Residential,2720128,17.39,3490569,20071160
2014,MA,Transportation,3,8.76,31636,360983
2014,MD,Commercial,248362,11.15,3324584,29804342
2014,MD,Industrial,8780,9.04,347692,3847954
2014,MD,Residential,2234962,13.63,3746115,27487633
2014,MD,Transportation,5,8.5,46246,543940
2014,ME,Commercial,91541,12.7,506147,3984570
2014,ME,Industrial,3023,8.95,300412,3357486
2014,ME,Residential,706952,15.27,711813,4660605
2014,ME,Transportation,0,0.0,0,0
2014,MI,Commercial,522422,10.87,4060031,37348927
2014,MI,Industrial,13289,7.68,2491113,32445935
2014,MI,Residential,4273126,14.46,4846496,33514991
2014,MI,Transportation,2,9.43,400,4245
2014,MN,Commercial,284978,9.85,2249026,22827840
2014,MN,Industrial,9898,6.72,1551691,23076348
2014,MN,Residential,2345860,12.01,2737895,22791466
2014,MN,Transportation,1,9.79,2321,23713
2014,MO,Commercial,371495,8.9,2728701,30665251
2014,MO,Industrial,10282,6.36,1106218,17398747
2014,MO,Residential,2724541,10.64,3807788,35792644
2014,MO,Transportation,1,7.81,1700,21755
2014,MS,Commercial,230416,10.76,1525368,14174583
2014,MS,Industrial,10922,6.6,1077019,16311951
2014,MS,Residential,1263583,11.32,2141264,18922097
2014,MS,Transportation,0,0.0,0,0
2014,MT,Commercial,103132,9.64,472750,4903160
2014,MT,Industrial,9597,5.49,232314,4229989
2014,MT,Residential,485041,10.18,505962,4969243
2014,MT,Transportation,0,0.0,0,0
2014,NC,Commercial,655841,8.75,4157748,47509563
2014,NC,Industrial,10356,6.5,1751829,26964549
2014,NC,Residential,4303476,11.1,6511383,58649994
2014,NC,Transportation,1,7.84,680,8670
2014,ND,Commercial,67871,8.79,474723,5403497
2014,ND,Industrial,8607,7.62,569870,7478721
2014,ND,Residential,360171,9.15,490071,5357514
2014,ND,Transportation,0,0.0,0,0
2014,NE,Commercial,151382,8.73,831284,9525524
2014,NE,Industrial,57429,7.47,797052,10668406
2014,NE,Residential,817425,10.4,1043023,10028238
2014,NE,Transportation,0,0.0,0,0
2014,NH,Commercial,105840,14.34,640173,4464530
2014,NH,Industrial,3342,11.93,234900,1969064
2014,NH,Residential,606883,17.53,790656,4510487
2014,NH,Transportation,0,0.0,0,0
2014,NJ,Commercial,511335,13.15,5015629,38154090
2014,NJ,Industrial,12313,11.38,855757,7516616
2014,NJ,Residential,3470874,15.78,4400228,27892582
2014,NJ,Transportation,6,10.43,31575,302790
2014,NM,Commercial,139873,10.27,921898,8976354
2014,NM,Industrial,9112,6.61,497592,7526898
2014,NM,Residential,869875,12.28,812034,6611970
2014,NM,Transportation,0,0.0,0,0
2014,NV,Commercial,157984,9.47,892029,9418091
2014,NV,Industrial,3691,7.12,977320,13732695
2014,NV,Residential,1110535,12.93,1541121,11916521
2014,NV,Transportation,1,9.25,768,8299
2014,NY,Commercial,1045571,16.12,12340776,76540813
2014,NY,Industrial,7862,6.58,1184255,18002976
2014,NY,Residential,7046829,20.07,10031316,49974914
2014,NY,Transportation,6,13.82,394180,2853210
2014,OH,Commercial,619293,9.83,4618293,47004594
2014,OH,Industrial,19209,6.77,3440917,50829251
2014,OH,Residential,4882159,12.5,6598181,52804334
2014,OH,Transportation,2,8.78,3646,41534
2014,OK,Commercial,275276,8.09,1654314,20448774
2014,OK,Industrial,18238,5.85,1038884,17773456
2014,OK,Residential,1710352,10.03,2343199,23351144
2014,OK,Transportation,0,0.0,0,0
2014,OR,Commercial,229832,8.75,1403691,16039418
2014,OR,Industrial,23356,5.97,755416,12654475
2014,OR,Residential,1669124,10.47,1948732,18617613
2014,OR,Transportation,4,9.21,2160,23447
2014,PA,Commercial,690549,9.73,4215606,43347918
2014,PA,Industrial,24222,7.41,3580987,48317693
2014,PA,Residential,5289211,13.32,7217831,54195335
2014,PA,Transportation,5,7.65,63255,826752
2014,RI,Commercial,58346,14.56,532579,3657679
2014,RI,Industrial,1884,12.86,114111,887150
2014,RI,Residential,438879,17.17,527116,3070347
2014,RI,Transportation,1,14.89,4158,27928
2014,SC,Commercial,349432,10.28,2225574,21655593
2014,SC,Industrial,4566,6.29,1839963,29248186
2014,SC,Residential,2157091,12.45,3824288,30715986
2014,SC,Transportation,0,0.0,0,0
2014,SD,Commercial,69703,8.89,406420,4572324
2014,SD,Industrial,3801,6.99,206414,2955034
2014,SD,Residential,384749,10.47,505345,4827368
2014,SD,Transportation,0,0.0,0,0
2014,TN,Commercial,471794,10.38,3476761,33497350
2014,TN,Industrial,1271,6.4,1548714,24182470
2014,TN,Residential,2756932,10.32,4392023,42538248
2014,TN,Transportation,1,8.57,100,1162
2014,TX,Commercial,1432478,8.16,11379847,139432095
2014,TX,Industrial,101641,6.16,6727425,109165495
2014,TX,Residential,10138874,11.86,16715817,140899744
2014,TX,Transportation,3,5.17,8909,172486
2014,US,Commercial,17853995,10.74,145253154,1352158263
2014,US,Industrial,839212,7.1,70854754,997576138
2014,US,Residential,128680416,12.52,176178008,1407208311
2014,US,Transportation,79,10.45,810494,7757555
2014,UT,Commercial,117921,8.53,943134,11053251
2014,UT,Industrial,9658,6.08,606015,9965115
2014,UT,Residential,1000416,10.65,954231,8963971
2014,UT,Transportation,1,10.34,6274,60682
2014,VA,Commercial,422931,8.15,3892715,47751655
2014,VA,Industrial,3653,6.89,1219659,17700993
2014,VA,Residential,3303676,11.1,5155281,46443716
2014,VA,Transportation,1,8.24,16642,202017
2014,VT,Commercial,52453,14.56,295698,2030520
2014,VT,Industrial,224,10.23,145111,1417994
2014,VT,Residential,310932,17.47,370673,2121347
2014,VT,Transportation,0,0.0,0,0
2014,WA,Commercial,359219,7.97,2313564,29040310
2014,WA,Industrial,30308,4.32,1211294,28012775
2014,WA,Residential,2907705,8.67,3040586,35082958
2014,WA,Transportation,6,8.48,401,4734
2014,WI,Commercial,345907,10.77,2558476,23757494
2014,WI,Industrial,5465,7.52,1790586,23811549
2014,WI,Residential,2631430,13.67,2996152,21925712
2014,WI,Transportation,0,0.0,0,0
2014,WV,Commercial,140698,7.99,629468,7876429
2014,WV,Industrial,12146,5.87,753085,12828949
2014,WV,Residential,862869,9.34,1119698,11990728
2014,WV,Transportation,0,0.0,0,0
2014,WY,Commercial,58178,8.88,355296,4000291
2014,WY,Industrial,10323,6.61,686237,10381471
2014,WY,Residential,265720,10.5,288879,2752313
2014,WY,Transportation,0,0.0,0,0
2015,AK,Commercial,50642,17.44,481839,2763491
2015,AK,Industrial,1299,14.53,196314,1351529
2015,AK,Residential,282282,19.83,405270,2044184
2015,AK,Transportation,0,0.0,0,0
2015,AL,Commercial,362871,10.83,2538645,23437831
2015,AL,Industrial,7254,6.03,2021316,33499182
2015,AL,Residential,2182616,11.7,3731831,31908530
2015,AL,Transportation,0,0.0,0,0
2015,AR,Commercial,187706,8.32,1011199,12153236
2015,AR,Industrial,35868,6.23,998757,16038092
2015,AR,Residential,1356658,9.82,1794303,18273389
2015,AR,Transportation,2,11.21,49,437
2015,AZ,Commercial,314756,10.39,3042894,29284431
2015,AZ,Industrial,7759,6.26,932651,14891564
2015,AZ,Residential,2689223,12.13,4023333,33167205
2015,AZ,Transportation,1,9.4,584,6216
2015,CA,Commercial,1685688,15.73,18627081,118384093
2015,CA,Industrial,148069,12.17,6394328,52562210
2015,CA,Residential,13380684,16.99,15187827,89386373
2015,CA,Transportation,13,8.99,75346,837761
2015,CO,Commercial,365563,9.88,2016563,20408085
2015,CO,Industrial,16229,7.4,1129021,15258761
2015,CO,Residential,2225725,12.12,2227990,18384936
2015,CO,Transportation,1,10.08,6477,64264
2015,CT,Commercial,152482,15.97,2069571,12958570
2015,CT,Industrial,4458,12.95,444588,3432002
2015,CT,Residential,1468958,20.94,2699306,12892862
2015,CT,Transportation,3,13.18,25399,192721
2015,DC,Commercial,25439,12.01,987107,8221610
2015,DC,Industrial,1,8.78,20928,238232
2015,DC,Residential,247469,12.99,324309,2497559
2015,DC,Transportation,1,9.0,30043,333832
2015,DE,Commercial,52786,10.25,432571,4219085
2015,DE,Industrial,858,8.28,201235,2430122
2015,DE,Residential,413445,13.42,650835,4848998
2015,DE,Transportation,0,0.0,0,0
2015,FL,Commercial,1183241,9.5,9106202,95847051
2015,FL,Industrial,19457,8.22,1388136,16897415
2015,FL,Residential,8963967,11.58,14216590,122759472
2015,FL,Transportation,2,8.92,8515,95460
2015,GA,Commercial,560950,9.89,4662637,47151316
2015,GA,Industrial,20685,5.87,1887035,32134396
2015,GA,Residential,4191209,11.54,6511155,56421650
2015,GA,Transportation,1,5.27,9004,170853
2015,HI,Commercial,60631,26.93,854791,3174462
2015,HI,Industrial,740,23.06,852083,3695554
2015,HI,Residential,428339,29.6,781896,2641336
2015,HI,Transportation,0,0.0,0,0
2015,IA,Commercial,227544,8.92,1076729,12071781
2015,IA,Industrial,7645,5.9,1255122,21289184
2015,IA,Residential,1356600,11.63,1603951,13786328
2015,IA,Transportation,0,0.0,0,0
2015,ID,Commercial,106451,7.8,488546,6263642
2015,ID,Industrial,27531,6.6,576477,8740479
2015,ID,Residential,701447,9.93,799700,8054693
2015,ID,Transportation,0,0.0,0,0
2015,IL,Commercial,603187,9.02,4540480,50319815
2015,IL,Industrial,5997,6.67,2875406,43130671
2015,IL,Residential,5172653,12.5,5581101,44645638
2015,IL,Transportation,3,6.81,35653,523846
2015,IN,Commercial,350474,9.78,2349168,24021689
2015,IN,Industrial,18213,6.86,3294957,48030120
2015,IN,Residential,2804861,11.57,3753084,32441693
2015,IN,Transportation,1,9.92,2085,21016
2015,KS,Commercial,228411,10.1,1553019,15380339
2015,KS,Industrial,24155,7.61,854187,11227106
2015,KS,Residential,1231830,12.34,1634552,13241682
2015,KS,Transportation,0,0.0,0,0
2015,KY,Commercial,299462,9.44,1848262,19589209
